6, Tap_Gestures, Left, 1658499611855, 1658499612508, Left, 1658499613735, 1658499613735
6, Tap_Gestures, Down Right, 1658499619364, 1658499620234, Down Right, 1658499621566, 1658499621566
6, Tap_Gestures, Up Left, 1658499626881, 1658499627716, Up Left, 1658499628906, 1658499628906
6, Tap_Gestures, Up Right, 1658499634398, 1658499635141, Up Right, 1658499637211, 1658499637211
6, Tap_Gestures, Down Left, 1658499641906, 1658499642823, Down Left, 1658499644059, 1658499644059
6, Tap_Gestures, Right, 1658499649423, 1658499650019, Right, 1658499651331, 1658499651331
6, Tap_Gestures, Up, 1658499656938, 1658499657465, Up, 1658499658710, 1658499658710
6, Tap_Gestures, Down, 1658499664453, 1658499665121, Down, 1658499666084, 1658499666084
6, Tap_Gestures, Down Left, 1658499671974, 1658499672901, Down Left, 1658499674200, 1658499674200
6, Tap_Gestures, Left, 1658499679492, 1658499680169, Right, 1658499681650, 1658499681650
6, Tap_Gestures, Up, 1658499687004, 1658499687533, Up, 1658499688693, 1658499688693
6, Tap_Gestures, Right, 1658499694520, 1658499695124, Right, 1658499696158, 1658499696158
6, Tap_Gestures, Up Right, 1658499702037, 1658499702766, Up Right, 1658499703966, 1658499703966
6, Tap_Gestures, Up Left, 1658499709552, 1658499710412, Up Left, 1658499711760, 1658499711760
6, Tap_Gestures, Down, 1658499717069, 1658499717736, Down, 1658499718870, 1658499718870
6, Tap_Gestures, Down Right, 1658499724582, 1658499725421, Down Right, 1658499727090, 1658499727090
6, Tap_Gestures, Up, 1658499827729, 1658499828299, Up, 1658499829335, 1658499829335
6, Tap_Gestures, Left, 1658499835248, 1658499835965, Left, 1658499837282, 1658499837282
6, Tap_Gestures, Down Left, 1658499842762, 1658499843734, Down Left, 1658499844527, 1658499844527
6, Tap_Gestures, Down, 1658499850276, 1658499850889, Down, 1658499852001, 1658499852001
6, Tap_Gestures, Up Left, 1658499857790, 1658499858629, Up Left, 1658499859457, 1658499859457
6, Tap_Gestures, Right, 1658499865307, 1658499865901, Right, 1658499866895, 1658499866895
6, Tap_Gestures, Up Right, 1658499872826, 1658499873629, Up Right, 1658499874567, 1658499874567
6, Tap_Gestures, Down Right, 1658499880339, 1658499881162, Right, 1658499881844, 1658499881844
6, Tap_Gestures, Right, 1658499887858, 1658499888433, Up Right, 1658499889579, 1658499889579
6, Tap_Gestures, Left, 1658499895373, 1658499896031, Left, 1658499897100, 1658499897100
6, Tap_Gestures, Up Right, 1658499902885, 1658499903602, Up Right, 1658499904370, 1658499904370
6, Tap_Gestures, Down, 1658499910399, 1658499910998, Down, 1658499911840, 1658499911840
6, Tap_Gestures, Up Left, 1658499917909, 1658499918733, Up Left, 1658499919794, 1658499919794
6, Tap_Gestures, Down Left, 1658499925433, 1658499926355, Down Left, 1658499927167, 1658499927167
6, Tap_Gestures, Up, 1658499932945, 1658499933471, Up, 1658499934336, 1658499934336
6, Tap_Gestures, Down Right, 1658499940472, 1658499941320, Down Right, 1658499942308, 1658499942308
6, Swipe_Gestures, Left, 1658500060116, 1658500060769, Left, 1658500061785, 1658500061944
6, Swipe_Gestures, Down Right, 1658500067633, 1658500068538, Down Right, 1658500070039, 1658500070194
6, Swipe_Gestures, Up Left, 1658500075148, 1658500076054, Up Left, 1658500076821, 1658500076996
6, Swipe_Gestures, Up Right, 1658500082662, 1658500083401, Up Right, 1658500084250, 1658500084414
6, Swipe_Gestures, Down Left, 1658500090179, 1658500091174, Down Left, 1658500091853, 1658500092026
6, Swipe_Gestures, Right, 1658500097690, 1658500098213, Right, 1658500099176, 1658500099336
6, Swipe_Gestures, Up, 1658500105208, 1658500105772, Up, 1658500106617, 1658500106775
6, Swipe_Gestures, Down, 1658500112722, 1658500113367, Down, 1658500113931, 1658500114093
6, Swipe_Gestures, Down Left, 1658500120240, 1658500121172, Down Left, 1658500121928, 1658500122087
6, Swipe_Gestures, Left, 1658500127754, 1658500128424, Left, 1658500129182, 1658500129369
6, Swipe_Gestures, Up, 1658500135276, 1658500135773, Up, 1658500136374, 1658500136490
6, Swipe_Gestures, Right, 1658500142805, 1658500143387, Right, 1658500144133, 1658500144245
6, Swipe_Gestures, Up Right, 1658500150322, 1658500151062, Up Right, 1658500152267, 1658500152393
6, Swipe_Gestures, Up Left, 1658500157833, 1658500158680, Up Left, 1658500159420, 1658500159569
6, Swipe_Gestures, Down, 1658500165348, 1658500166056, Down, 1658500166898, 1658500167091
6, Swipe_Gestures, Down Right, 1658500172863, 1658500173712, Down Right, 1658500174475, 1658500174673
6, Swipe_Gestures, Up, 1658500243121, 1658500243605, Up, 1658500244598, 1658500244718
6, Swipe_Gestures, Left, 1658500250639, 1658500251303, Left, 1658500252349, 1658500252525
6, Swipe_Gestures, Down Left, 1658500258163, 1658500259104, Down Left, 1658500259621, 1658500259796
6, Swipe_Gestures, Down, 1658500265678, 1658500266325, Down, 1658500266916, 1658500267090
6, Swipe_Gestures, Up Left, 1658500273197, 1658500274053, Up Left, 1658500274578, 1658500274710
6, Swipe_Gestures, Right, 1658500280711, 1658500281268, Right, 1658500282148, 1658500282260
6, Swipe_Gestures, Up Right, 1658500288232, 1658500288969, Up Right, 1658500289768, 1658500289931
6, Swipe_Gestures, Down Right, 1658500295747, 1658500296638, Down Right, 1658500297361, 1658500297517
6, Swipe_Gestures, Right, 1658500303258, 1658500303842, Right, 1658500304643, 1658500304765
