PID,Method,Block,Accuracy,Response Time,Completion Time,Selection Time,Error,SDLP,Speed,Glance
1,TAP,1,87.5,1473.0625,0.0,1473.0625,12.5,1.863589022820572,81.9936361187264,22
1,TAP,2,100.0,1725.0,0.0,1725.0,0.0,2.057248454424251,77.53820872676152,24
1,SWIPE,1,100.0,1631.8125,517.0,2148.8125,0.0,2.0832328678114296,79.23101085413009,16
1,SWIPE,2,93.75,1507.5,524.1875,2031.6875,6.25,2.0016172812926816,79.35654688825709,27
1,MIDAIR,1,93.75,1066.4375,357.9375,1424.375,6.25,1.8890207588657597,78.14305284780706,0
1,MIDAIR,2,81.25,813.125,341.5625,1154.6875,18.75,2.1819687482593046,81.68644019642477,10
2,TAP,1,100.0,996.3125,0.0,996.3125,0.0,1.9248060348531035,104.8587223074132,1
2,TAP,2,100.0,1114.125,0.0,1114.125,0.0,1.5462702798242718,81.0360568119217,4
2,SWIPE,1,100.0,706.4,244.6,951.0,0.0,1.7525241955877138,87.45581791478668,0
2,SWIPE,2,100.0,840.0,209.3125,1049.3125,0.0,1.6463936092649727,80.89950047353257,1
2,MIDAIR,1,83.33333333333333,220.16666666666663,227.5,447.6666666666667,16.66666666666667,1.9449903453940285,113.5988492770726,0
2,MIDAIR,2,92.3076923076923,421.3076923076923,146.92307692307693,568.2307692307693,7.692307692307693,1.5567274447123398,88.18098610573604,0
3,TAP,1,100.0,873.1875,0.0,873.1875,0.0,1.7728491772882662,81.93643727776802,0
3,TAP,2,100.0,1117.9375,0.0,1117.9375,0.0,2.0201242420106458,78.85550411758945,3
3,SWIPE,1,100.0,956.625,393.9375,1350.5625,0.0,2.0612246063492354,76.27359079417303,12
3,SWIPE,2,100.0,1055.125,338.625,1393.75,0.0,1.8944547108173788,76.38057848538034,3
3,MIDAIR,1,93.33333333333331,443.6,297.0,740.6,6.666666666666671,1.9628035458402704,79.75523592114536,0
3,MIDAIR,2,87.5,306.0625,273.875,579.9375,12.5,1.998545273503679,81.16207932533742,1
4,TAP,1,100.0,1103.75,0.0,1103.75,0.0,1.654374306927202,86.07287101727742,13
4,TAP,2,100.0,1033.4375,0.0,1033.4375,0.0,1.6524321565626274,81.78079751971765,22
4,SWIPE,1,93.75,1028.0,267.5,1295.5,6.25,1.8339140940372165,84.29310823303635,2
4,SWIPE,2,100.0,1067.9375,245.9375,1313.875,0.0,1.704432399649691,95.22860658118184,8
4,MIDAIR,1,87.5,784.25,349.8125,1134.0625,12.5,1.8328887271308152,76.38883395817315,1
4,MIDAIR,2,87.5,778.0625,340.0,1118.0625,12.5,1.8106102217597195,93.19207677374705,0
5,TAP,1,100.0,1016.8125,0.0,1016.8125,0.0,2.01985625721427,75.08306943330325,14
5,TAP,2,100.0,947.125,0.0,947.125,0.0,2.0377332428755435,82.96776011247546,17
5,SWIPE,1,93.75,801.0,406.25,1207.25,6.25,2.006293076574792,76.1203997882281,13
5,SWIPE,2,100.0,854.3125,464.5625,1318.875,0.0,1.999290054935092,77.31264850133783,6
5,MIDAIR,1,87.5,962.875,278.5625,1241.4375,12.5,1.8703412728484536,95.93872134973856,4
5,MIDAIR,2,93.75,554.125,208.3125,762.4375,6.25,1.8387709904180916,89.21315449986534,0
6,TAP,1,93.75,1306.25,0.0,1306.25,6.25,1.8917239042163936,88.97832351610084,2
6,TAP,2,87.5,953.1875,0.0,953.1875,12.5,1.6900474233055711,78.10255231016848,11
6,SWIPE,1,100.0,849.6875,159.125,1008.8125,0.0,1.8971499235478344,79.58217923049962,2
6,SWIPE,2,93.75,817.4375,155.0,972.4375,6.25,1.734384462257144,79.41070178361751,6
