PID,Method,Block,Glance
1,TAP,1,22
1,TAP,2,24
1,SWIPE,1,16
1,SWIPE,2,27
1,MIDAIR,1,0
1,MIDAIR,2,10
2,TAP,1,1
2,TAP,2,4
2,SWIPE,1,0
2,SWIPE,2,1
2,MIDAIR,1,0
2,MIDAIR,2,0
3,TAP,1,0
3,TAP,2,3
3,SWIPE,1,12
3,SWIPE,2,3
3,MIDAIR,1,0
3,MIDAIR,2,1
4,TAP,1,13
4,TAP,2,22
4,SWIPE,1,2
4,SWIPE,2,8
4,MIDAIR,1,1
4,MIDAIR,2,0
5,TAP,1,14
5,TAP,2,17
5,SWIPE,1,13
5,SWIPE,2,6
5,MIDAIR,1,4
5,MIDAIR,2,0
6,TAP,1,2
6,TAP,2,11
6,SWIPE,1,2
6,SWIPE,2,6
6,MIDAIR,1,7
6,MIDAIR,2,1
7,TAP,1,0
7,TAP,2,0
7,SWIPE,1,0
7,SWIPE,2,0
7,MIDAIR,1,0
7,MIDAIR,2,0
8,TAP,1,0
8,TAP,2,0
8,SWIPE,1,0
8,SWIPE,2,0
8,MIDAIR,1,0
8,MIDAIR,2,0
9,TAP,1,0
9,TAP,2,0
9,SWIPE,1,0
9,SWIPE,2,0
9,MIDAIR,1,0
9,MIDAIR,2,0
10,TAP,1,0
10,TAP,2,0
10,SWIPE,1,0
10,SWIPE,2,0
10,MIDAIR,1,1
10,MIDAIR,2,0
11,TAP,1,18
11,TAP,2,21
11,SWIPE,1,1
11,SWIPE,2,10
11,MIDAIR,1,7
11,MIDAIR,2,6
12,TAP,1,8
12,TAP,2,11
12,SWIPE,1,13
12,SWIPE,2,5
12,MIDAIR,1,9
12,MIDAIR,2,8
13,TAP,1,24
13,TAP,2,28
13,SWIPE,1,34
13,SWIPE,2,18
13,MIDAIR,1,26
13,MIDAIR,2,24
14,TAP,1,0
14,TAP,2,0
14,SWIPE,1,0
14,SWIPE,2,0
14,MIDAIR,1,0
14,MIDAIR,2,0
15,TAP,1,12
15,TAP,2,22
15,SWIPE,1,20
15,SWIPE,2,22
15,MIDAIR,1,11
15,MIDAIR,2,6
16,TAP,1,21
16,TAP,2,29
16,SWIPE,1,1
16,SWIPE,2,0
16,MIDAIR,1,4
16,MIDAIR,2,5
17,TAP,1,12
17,TAP,2,7
17,SWIPE,1,1
17,SWIPE,2,2
17,MIDAIR,1,0
17,MIDAIR,2,0
18,TAP,1,6
18,TAP,2,12
18,SWIPE,1,2
18,SWIPE,2,6
18,MIDAIR,1,1
18,MIDAIR,2,0
