PID,Method,Block,Accuracy,Response Time,Completion Time,Selection Time,Error
1,TAP,1,87.5,1473.0625,0.0,1473.0625,12.5
1,TAP,2,100.0,1725.0,0.0,1725.0,0.0
1,SWIPE,1,100.0,1631.8125,517.0,2148.8125,0.0
1,SWIPE,2,93.75,1507.5,524.1875,2031.6875,6.25
1,MIDAIR,1,93.75,1066.4375,357.9375,1424.375,6.25
1,MIDAIR,2,81.25,813.125,341.5625,1154.6875,18.75
2,TAP,1,100.0,996.3125,0.0,996.3125,0.0
2,TAP,2,100.0,1114.125,0.0,1114.125,0.0
2,SWIPE,1,100.0,706.4,244.6,951.0,0.0
2,SWIPE,2,100.0,840.0,209.3125,1049.3125,0.0
2,MIDAIR,1,83.33333333333333,220.16666666666666,227.5,447.6666666666667,16.66666666666667
2,MIDAIR,2,92.3076923076923,421.3076923076923,146.92307692307693,568.2307692307693,7.692307692307693
3,TAP,1,100.0,873.1875,0.0,873.1875,0.0
3,TAP,2,100.0,1117.9375,0.0,1117.9375,0.0
3,SWIPE,1,100.0,956.625,393.9375,1350.5625,0.0
3,SWIPE,2,100.0,1055.125,338.625,1393.75,0.0
3,MIDAIR,1,93.33333333333333,443.6,297.0,740.6,6.666666666666671
3,MIDAIR,2,87.5,306.0625,273.875,579.9375,12.5
4,TAP,1,100.0,1103.75,0.0,1103.75,0.0
4,TAP,2,100.0,1033.4375,0.0,1033.4375,0.0
4,SWIPE,1,93.75,1028.0,267.5,1295.5,6.25
4,SWIPE,2,100.0,1067.9375,245.9375,1313.875,0.0
4,MIDAIR,1,87.5,784.25,349.8125,1134.0625,12.5
4,MIDAIR,2,87.5,778.0625,340.0,1118.0625,12.5
5,TAP,1,100.0,1016.8125,0.0,1016.8125,0.0
5,TAP,2,100.0,947.125,0.0,947.125,0.0
5,SWIPE,1,93.75,801.0,406.25,1207.25,6.25
5,SWIPE,2,100.0,854.3125,464.5625,1318.875,0.0
5,MIDAIR,1,87.5,962.875,278.5625,1241.4375,12.5
5,MIDAIR,2,93.75,554.125,208.3125,762.4375,6.25
6,TAP,1,93.75,1306.25,0.0,1306.25,6.25
6,TAP,2,87.5,953.1875,0.0,953.1875,12.5
6,SWIPE,1,100.0,849.6875,159.125,1008.8125,0.0
6,SWIPE,2,93.75,817.4375,155.0,972.4375,6.25
6,MIDAIR,1,80.0,1891.1333333333334,201.2,2092.3333333333335,20.0
